population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Bolivia (Plurinational State of),Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0267524854222632,0.031103964315009,0.0230026483431312
All Population,Prevalence,Andorra,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,482.2889366063733,552.4322964952357,402.30112756398535
All Population,Prevalence,Andorra,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,678.7053203683297,781.7968704177547,558.319748960413
All Population,Prevalence,Andorra,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,1160.994256974702,1329.561224350497,962.6637588612208
All Population,Prevalence,Andorra,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0465458420284959,0.0533375505025313,0.0388259265712119
All Population,Prevalence,Andorra,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.065665306059386,0.0756378423671306,0.0540132605028432
All Population,Prevalence,Andorra,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0560936732752598,0.0642453439863341,0.0465155266089617
All Population,Prevalence,Malta,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,2656.652101893644,3087.144221549905,2201.261469328409
All Population,Prevalence,Malta,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,4229.684551501043,4895.34273586124,3517.98402688549
All Population,Prevalence,Malta,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,6886.336653394693,7969.03046110155,5698.598585313706
All Population,Prevalence,Malta,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0411613865308971,0.0478224400144389,0.0341261557597619
All Population,Prevalence,Malta,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0597838371158137,0.0692052098708079,0.049730228840842
All Population,Prevalence,Malta,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0508998148635233,0.058905764363921,0.0421191620904759
All Population,Prevalence,Austria,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,46992.65382512824,55452.610981424776,38878.30053007527
All Population,Prevalence,Austria,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,84061.11002017125,97951.18103243348,69052.35178767549
All Population,Prevalence,Austria,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,131053.76384529944,152259.4945460626,107660.29986543056
All Population,Prevalence,Austria,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0431241395979201,0.0508861626020547,0.0356759363271787
All Population,Prevalence,Austria,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0637617234899792,0.0742946402862505,0.0523850882737361
All Population,Prevalence,Austria,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.054422747519967,0.0632230199615586,0.0447143993039605
All Population,Prevalence,Turkmenistan,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,5248.806052051609,6031.911270955068,4517.899009521465
All Population,Prevalence,Turkmenistan,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,10048.418526431484,11567.252508765445,8619.462249623548
All Population,Prevalence,Turkmenistan,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,15297.2245784831,17522.97321343414,13180.32643313814
